i_iso3,j_iso3,q025,q500,q975
THA,BGR,3.025978192347528,3.3424906022918917,3.73361427561046
TUR,BGR,1.406060195089315,1.525567985201351,1.6511939195602237
USA,BGR,1.8254379727032792,1.9263281661460203,2.0428058283127073
VNM,BGR,3.410637900205747,3.8540357143896298,4.333246254477415
ZAF,BGR,2.416704423844937,2.654415066232387,2.9350681743267844
AUS,BNL,1.6228722314938666,1.7198961489731799,1.8303288628942331
AUT,BNL,1.7793144942264747,1.8814951471620858,2.0540228367777362
BGR,BNL,2.8579736453233586,3.0611807622726217,3.3001007278421355
BRA,BNL,1.60723247405974,1.736388889318182,1.9013025733594535
CAN,BNL,1.6419037680020372,1.7591679140353982,1.866966240509076
CHL,BNL,2.056852673282144,2.2112916432462963,2.4131918740847564
CHN,BNL,1.7998141822663856,1.9448138231787333,2.145219266926066
COL,BNL,2.466901435654806,2.7665778714591216,3.0264766412075583
CYP,BNL,2.3172162788305215,2.59477061040441,2.840966321010061
CZE,BNL,1.895756080961906,2.058269480893954,2.2201433598235107
DEU,BNL,1.1953756350224216,1.292894968611241,1.3990533991988388
DNK,BNL,1.5159006558290888,1.6328520143430527,1.7639129381463248
ELL,BNL,2.071523131972797,2.250083202159966,2.451532845801409
ESP,BNL,1.7780663691936769,1.906665272820695,2.028464262969332
FIN,BNL,1.6542541971553955,1.7903274056616463,1.8976325244440506
FRA,BNL,1.340765123335145,1.421873794399116,1.5171541467407381
GBR,BNL,1.4869329538095997,1.5849091507923978,1.7129736749188804
GRC,BNL,2.3389442504045874,2.538243719867619,2.7270023737645896
HUN,BNL,2.2667301345250355,2.432757222151156,2.662830341497423
IDN,BNL,2.7497194698508287,3.083744491798938,3.4511964119161744
IND,BNL,3.3172472824776316,3.8010223924164936,4.2954491450868115
IRL,BNL,1.5095911169453071,1.6099354455866755,1.7372676612547904
ISR,BNL,1.7168190120992897,1.8750446883868115,2.041774893166252
ITA,BNL,1.537289419291929,1.6575600869805158,1.745495802338222
JPN,BNL,1.1823773006026896,1.3065224956671218,1.428795108903787
KOR,BNL,1.9244555106177885,2.0805225289790608,2.3549102928774035
MEX,BNL,2.6563751311761843,2.8164825584745525,3.035688079379856
MYSG,BNL,1.8973229567833259,2.0741439167901614,2.3224506969685037
NZL,BNL,2.1442300355582113,2.3179633823760195,2.5027980407541994
PER,BNL,2.800739941493008,3.0577296179915714,3.2937186195044807
