Name,ccode,pppReal,expReal,gdpUSDT,expShareT
"Audio-visual, photographic and information processing equipment",MEX,1.2094300853340902,13274001956.002031,476386003517.584,0.02786396295858443
"Audio-visual, photographic and information processing equipment",MYSG,0.8631638514200785,2588289008.0215707,148201628667.646,0.01746464618027927
"Audio-visual, photographic and information processing equipment",NZL,1.3173136786537347,1625563109.9017735,54312692779.97695,0.02992970936806612
"Audio-visual, photographic and information processing equipment",PER,0.8477453424321558,1611926582.1865582,70766324607.54346,0.02277815883650869
"Audio-visual, photographic and information processing equipment",PHL,0.794869740791898,299314715.5688032,116862082387.78627,0.002561264607416287
"Audio-visual, photographic and information processing equipment",RoW,0.9930170158179352,57642746541.76164,3953264466259.4966,0.014581049923103705
"Audio-visual, photographic and information processing equipment",RUS,1.1685983680983776,16433168395.519756,793246609212.229,0.02071634243963487
"Audio-visual, photographic and information processing equipment",THA,0.6085323071486005,2166510699.9483805,188991157433.48123,0.011463555911132626
"Audio-visual, photographic and information processing equipment",TUR,1.1882749997355813,5884855247.701637,426950403300.6212,0.013783463377028446
"Audio-visual, photographic and information processing equipment",USA,1,185795035825.371,4714580039654.105,0.03940860782140889
"Audio-visual, photographic and information processing equipment",VNM,0.5883880033961555,946623283.4537232,59056391694.1914,0.016029141914994955
"Audio-visual, photographic and information processing equipment",ZAF,0.9088573047498123,1793675983.2195425,165367298474.65317,0.010846618404995411
Beef and veal,AUS,1.5447930190575812,2668849630.569769,410366207611.79,0.006503580414434426
Beef and veal,BRA,0.8943295352993001,31334310054.888683,987101604734.631,0.03174375353519204
Beef and veal,CAN,1.5141948438510768,3001013598.3623147,504068428113.4744,0.005953583741782644
Beef and veal,CHL,1.326932626579267,2467809824.4906836,97256116028.83278,0.025374340712506663
Beef and veal,CHN,0.7705403753650957,23248014201.284092,2548185298532.511,0.009123360932453587
Beef and veal,COL,0.5635631260221591,3520838753.5116024,124398941565.95387,0.028302803136350824
Beef and veal,EU,1.865586726255853,61814616167.58371,5859159613535.026,0.010550082306136202
Beef and veal,IDN,0.8684113932460813,2489809245.457276,347358927915.7229,0.007167828563949736
Beef and veal,IND,0.26650259626144923,267458572.12788013,863763756060.2175,3.096431984456108e-4
Beef and veal,ISR,2.2824807256033206,993508096.0121237,80940492070.38477,0.012274549741409804
Beef and veal,JPN,5.503237706913755,9339569210.720863,2021638224400.7524,0.0046198024443712075
